カード名,項目名,対応するトピック/サービス名,トピック/サービス定義ファイル,パラメータ名,備考
ルート進捗,状態,"route_state / manager_status","route_msgs/msg/RouteState.msg; route_msgs/msg/ManagerStatus.msg","status / state","RouteState.statusを表示し、ManagerStatus.state受信時に上書き"
ルート進捗,進捗率,route_state,route_msgs/msg/RouteState.msg,"current_index,total_waypoints","current_index/total_waypoints×100で進捗バーに反映"
ルート進捗,進捗カウンタ,route_state,route_msgs/msg/RouteState.msg,"current_index,total_waypoints","current_index+1とtotal_waypointsで「n / total」を表示"
ルート進捗,バージョン,"route_state / active_route","route_msgs/msg/RouteState.msg; route_msgs/msg/Route.msg","route_version / version","RouteState.route_versionが基本、Route.version受信時も更新"
ルート進捗,最終イベント,"route_state / manager_status","route_msgs/msg/RouteState.msg; route_msgs/msg/ManagerStatus.msg","message / last_cause / decision","最新のmessageまたはlast_cause/decisionと受信時刻(now)を結合"
フォロワ状態,状態,follower_state,route_msgs/msg/FollowerState.msg,state,特になし
フォロワ状態,Index,follower_state,route_msgs/msg/FollowerState.msg,current_index,"受信したcurrent_indexをそのまま表示（0始まり）"
フォロワ状態,現在ラベル,"follower_state / active_route","route_msgs/msg/FollowerState.msg; route_msgs/msg/Route.msg","current_waypoint_label / current_label","current_waypoint_labelが空のときはRoute.current_labelを利用"
フォロワ状態,次ラベル,follower_state,route_msgs/msg/FollowerState.msg,next_waypoint_label,特になし
フォロワ状態,左右オフセット,follower_state,route_msgs/msg/FollowerState.msg,"left_offset_m_median,right_offset_m_median","左:+x / 右:+yの文字列で表示"
フォロワ状態,滞留要因,follower_state,route_msgs/msg/FollowerState.msg,last_stagnation_reason,"先頭に「滞留要因:」を付け、空の場合は「滞留要因: なし」を表示"
ロボット速度,並進速度,cmd_vel,geometry_msgs/msg/Twist.msg,linear.x,"m/sに変換して小数第2位まで表示"
ロボット速度,角速度,cmd_vel,geometry_msgs/msg/Twist.msg,angular.z,"rad/sをdeg/sへ換算し小数第1位表示"
目標までの距離,現在距離,"amcl_pose / active_target / follower_state","geometry_msgs/msg/PoseWithCovarianceStamped.msg; geometry_msgs/msg/PoseStamped.msg; route_msgs/msg/FollowerState.msg","pose.pose.position / pose.position / distance_to_target","active_targetとamcl_poseの距離を優先し、未取得時はdistance_to_targetを使用"
目標までの距離,進捗,amcl_pose,geometry_msgs/msg/PoseWithCovarianceStamped.msg,"current_distance_m,baseline_distance_m","baseline_distance_m>0のときcurrent_distance_m/baseline_distance_m×100を進捗バーに反映"
目標までの距離,基準距離,active_target,geometry_msgs/msg/PoseStamped.msg,pose,"連続するactive_target同士の距離をbaseline_distance_mとして更新"
手動・信号・封鎖イベント,バナーテキスト,"manual_start / sig_recog / road_blocked / follower_state / active_route","std_msgs/msg/Bool.msg; std_msgs/msg/Int32.msg; route_msgs/msg/FollowerState.msg; route_msgs/msg/Route.msg","data / state / signal_stop_active / line_stop_active","manual_startで手動開始、road_blockedで道路封鎖、WAITING_STOP時は信号・停止線フラグで文言を決定"
手動・信号・封鎖イベント,詳細行,"manual_start / sig_recog / road_blocked / follower_state","std_msgs/msg/Bool.msg; std_msgs/msg/Int32.msg; route_msgs/msg/FollowerState.msg","manual_timestamp / sig_timestamp / road_blocked_timestamp / signal_stop_active","manual_start・sig_recog・road_blockedの最終送信時刻とWAITING_STOP時の停止要因を表示"
制御コマンド(manual_start),送信状況,manual_start,std_msgs/msg/Bool.msg,"data,manual_timestamp","現在値と最終送信時刻を表示（GUI送信時は即時反映）"
制御コマンド(sig_recog),送信状況,sig_recog,std_msgs/msg/Int32.msg,"data,sig_timestamp","GO/STOPの最終送信値と時刻を表示"
制御コマンド(obstacle_hint),受信状態,obstacle_avoidance_hint,route_msgs/msg/ObstacleAvoidanceHint.msg,"front_blocked,front_clearance_m","front_blocked状態とfront_clearance_mを表示"
制御コマンド(obstacle_hint),受信値概要,obstacle_avoidance_hint,route_msgs/msg/ObstacleAvoidanceHint.msg,"left_offset_m,right_offset_m,updated_at","左右オフセットと更新時刻(now)を表示"
制御コマンド(obstacle_hint),送信予定,--,N/A,"front_blocked,front_clearance_m,left_offset_m,right_offset_m","GUIのスピンボックスとチェックボックス値から構築し、送信前でも確認可能"
制御コマンド(road_blocked),送信状況,road_blocked,std_msgs/msg/Bool.msg,"data,road_blocked_timestamp,road_blocked_source","現在値と最終送信時刻を表示し、外部入力かGUI送信かをsourceで保持"
画像パネル,ルート地図,active_route,route_msgs/msg/Route.msg,route_image,"640x360へリサイズし、画像なしの場合はプレースホルダ表示"
画像パネル,障害物ビュー,sensor_viewer,sensor_msgs/msg/Image.msg,data,"400x400へletterboxし、障害物ヒントのオーバレイを重畳"
画像パネル,障害物オーバレイ,obstacle_avoidance_hint,route_msgs/msg/ObstacleAvoidanceHint.msg,"front_blocked,front_clearance_m,left_offset_m,right_offset_m","遮蔽状況・余裕距離・左右オフセットをオーバレイ表示"
画像パネル,外部カメラ,"usb_cam/image_raw / sig_det_imgs",sensor_msgs/msg/Image.msg,data,"WAITING_STOPやsig_recogの値に応じdrive/signalフレームを選択し480x360に調整"
