label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
2,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
3,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
4,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
5,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
6,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
7,31.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
8,36.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
9,41.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
10,46.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
11,50.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
12,50.0,1.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
13,50.0,6.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
14,50.0,11.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
15,50.0,16.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
16,50.0,21.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
17,50.0,26.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
18,50.0,31.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
19,50.0,36.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
20,50.0,41.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
21,50.0,46.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,1.5,1.5,0,0,1
22,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
23,51.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
24,56.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
25,61.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
26,66.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
27,71.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
28,76.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
29,81.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
30,86.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
31,91.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
32,96.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
33,99.0,50.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0,0,1
