label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
2,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
3,15.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
4,20.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
5,25.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
7,35.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
8,40.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
9,45.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
10,50.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
11,50.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
12,50.0,5.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
13,50.0,10.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
14,50.0,15.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
15,50.0,20.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
16,50.0,25.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
17,50.0,30.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
18,50.0,35.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
19,50.0,40.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
20,50.0,45.0,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,2.5,2.5,0,0,1
21,50.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
22,50.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
23,55.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
24,60.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
25,65.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
26,70.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
27,75.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
28,80.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
29,85.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
30,90.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
31,95.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
32,100.0,50.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0,0,1
