label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
1,0.6242455724659158,0.7812281774595057,0.0,0.0,0.0,0.4334480519820594,0.9011785540240945,1.5,1.5,0,0,1
2,3.76438207282825,4.672070218545467,0.0,0.0,0.0,0.427946960060034,0.9038038500556278,1.5,1.5,0,0,1
3,6.991820447673417,8.490429426347754,0.0,0.0,0.0,0.41652846905065094,0.9091226729492126,1.5,1.5,0,0,1
4,10.404902589020427,12.142213813650153,0.0,0.0,0.0,0.37192346647658925,0.9282633974708027,1.5,1.5,0,0,1
5,14.1304131632523,15.471381648148672,0.0,0.0,0.0,0.3353671492260123,0.9420875093217284,1.5,1.5,0,0,1
6,18.3006389602817,18.204757389729764,0.0,0.0,0.0,0.2220558778606997,0.9750339415156346,1.5,1.5,0,0,1
7,23.007122619737896,19.803714979668474,0.0,0.0,0.0,0.04906860015962306,0.9987954107215226,1.5,1.5,0,0,1
8,27.96579321898906,19.617263969037708,0.0,0.0,0.0,-0.142054220058067,0.9898588781052046,1.5,1.5,0,0,1
9,32.589240541729275,17.761596163313936,0.0,0.0,0.0,-0.2862028088135931,0.9581690624452502,1.5,1.5,0,0,1
10,36.64073763367868,14.842676511223548,0.0,0.0,0.0,-0.3353671492260124,0.9420875093217284,1.5,1.5,0,0,1
11,40.29710057269918,11.437701064988513,0.0,0.0,0.0,-0.3983197704916561,0.9172466192008965,1.5,1.5,0,0,1
12,43.65789590246957,7.736896172164378,0.0,0.0,0.0,-0.41652846905065094,0.9091226729492126,1.5,1.5,0,0,1
13,46.866146221369846,3.9024094029786673,0.0,0.0,0.0,-0.42794696006003397,0.9038038500556278,1.5,1.5,0,0,1
14,49.99685326876807,0.003938057735139111,0.0,0.0,0.0,-0.4334480519820594,0.9011785540240945,1.5,1.5,0,0,1
15,53.12746476952485,-3.8946105936248236,0.0,0.0,0.0,-0.427946960060034,0.9038038500556278,1.5,1.5,0,0,1
16,56.33552065993512,-7.7292607799600495,0.0,0.0,0.0,-0.4165284690506517,0.9091226729492122,1.5,1.5,0,0,1
17,59.696016818487834,-11.43033420944408,0.0,0.0,0.0,-0.39831977049165457,0.9172466192008971,1.5,1.5,0,0,1
18,63.3514484593032,-14.836305975783135,0.0,0.0,0.0,-0.3353671492260131,0.942087509321728,1.5,1.5,0,0,1
19,67.40232937578398,-17.75606673531892,0.0,0.0,0.0,-0.2862028088135936,0.9581690624452501,1.5,1.5,0,0,1
20,72.02453195732089,-19.614428717505326,0.0,0.0,0.0,-0.142054220058067,0.9898588781052046,1.5,1.5,0,0,1
21,76.9828442188677,-19.804703178595208,0.0,0.0,0.0,0.04906860015962306,0.9987954107215226,1.5,1.5,0,0,1
22,81.6902735645516,-18.20912301222602,0.0,0.0,0.0,0.22205587786069855,0.9750339415156349,1.5,1.5,0,0,1
23,85.8617729297296,-15.477752183589079,0.0,0.0,0.0,0.3353671492260111,0.9420875093217288,1.5,1.5,0,0,1
24,89.58780484811156,-12.1491750916579,0.0,0.0,0.0,0.37192346647659064,0.9282633974708021,1.5,1.5,0,0,1
25,93.00159611473129,-8.49806481855208,0.0,0.0,0.0,0.4165284690506509,0.9091226729492126,1.5,1.5,0,0,1
26,96.22922891806645,-4.6798690278993025,0.0,0.0,0.0,0.42794696006003397,0.9038038500556278,1.5,1.5,0,0,1
27,99.36946096507023,-0.7891042929297827,0.0,0.0,0.0,0.43344805198205943,0.9011785540240945,1.5,1.5,0,0,1
28,99.37575442753409,-0.7812281774595098,0.0,0.0,0.0,0.43344805198205943,0.9011785540240945,1.5,1.5,0,0,1
