label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
1,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
2,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
3,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
4,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
5,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
7,35.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
8,40.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
9,45.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
10,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
11,55.00000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
12,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
13,65.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
14,70.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
15,75.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
16,80.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
17,85.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
18,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
19,95.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
20,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1
