label,index,x,y,z,q1,q2,q3,q4,right_open,left_open,line_stop,signal_stop,not_skip,segment_is_fixed
C0,0,-0.0083791862994783,0.0066155528607675,0.0107024619119395,0.0,0.0,0.0008148815081975,0.9999988152071436,0.0,0.0,0,0,1,0
C0_1,1,4.002175735486897,0.373546499671619,-0.2237130139144057,0.0,0.0,-0.0663175004859814,0.9975547295777868,0.0,0.0,0,0,1,0
C0_2,2,8.053922198350646,0.4051216482458981,-0.4943876461524779,0.0,0.0,-0.0212567540746491,0.9996135766202464,0.0,0.0,0,0,1,0
C0_3,3,12.100909556197598,0.5344504238518881,-0.7241571363235022,0.0,0.0,0.0300292325762872,0.9993075165450652,0.0,0.0,0,0,1,0
C1,4,13.21868247141303,0.6513872229512019,-0.8092496184212801,0.0,0.0,0.023438737874665,0.9994770819780504,0.0,0.0,0,0,1,0
C1_1,5,13.314998632959076,0.85836730395412,-0.8024371122272154,0.0,0.0,0.5312850202438798,0.8466879123224936,0.0,0.0,0,0,1,0
C1_2,6,14.208972047738442,4.81004309912539,-0.9412851498129384,0.0,0.0,0.609933308447414,0.7919357574451571,0.0,0.0,0,0,1,0
C1_3,7,16.31112769458619,8.25034523890272,-1.1860538712324191,0.0,0.0,0.3643271177462832,0.9311039939216113,0.0,0.0,0,0,1,0
C2,8,19.81905068283656,10.12104206834286,-1.4278519109019756,0.0,0.0,0.1139165590185614,0.9932553011809132,0.0,0.0,0,0,1,0
C2_1,9,19.86757865458371,10.130983504147949,-1.4235517575971446,0.0,0.0,0.1172086503647658,0.9929426673565692,0.0,0.0,0,0,1,0
C2_2,10,23.93035077838147,10.011582617294753,-1.665981025211824,0.0,0.0,-0.0850073904757629,0.996186824170855,0.0,0.0,0,0,1,0
C2_3,11,27.763378135270425,8.828294880679582,-1.899500284561932,0.0,0.0,-0.2221253739334631,0.9747295940264308,0.0,0.0,0,0,1,0
C2_4,12,30.366831047921536,5.713691653053565,-1.976051867667056,0.0,0.0,-0.5609305702869054,0.8272154149614684,0.0,0.0,0,0,1,0
C2_5,13,31.21903705079707,1.7732403048299163,-1.926585706618023,0.0,0.0,-0.7156751408323115,0.6974081248733827,0.0,0.0,0,0,1,0
C3,14,31.842451900766168,1.4373599108538242,-1.9763317833764271,0.0,0.0,0.9988525817494898,-0.0032084386987844,0.0,0.0,0,0,1,0
C4_6,15,32.904681906574766,1.4118293877257806,-2.057713797734033,0.0,0.0,0.09259758519080147,0.9957036141426987,0.0,0.0,0,0,1,0
C4_5,16,33.15696620739866,1.4591621790904374,-2.1109173300021964,0.0,0.0,0.03962494174625369,0.9992146235877485,0.0,0.0,0,0,1,0
C4_4,17,34.43626787345797,1.5607861891111696,-2.1609881526675783,0.0,0.0,0.004260008560647466,0.999990926122364,0.0,0.0,0,0,1,0
C4_3,18,34.83389268053032,1.5641740514987028,-2.209493343835587,0.0,0.0,-0.056586525086027205,0.9983976989049446,0.0,0.0,0,0,1,0
C4_2,19,38.92062958907351,1.0994303974274016,-2.407249019528493,0.0,0.0,-0.5485175882035028,0.8361390168096526,0.0,0.0,0,0,1,0
C4_1,20,39.714840047463305,-0.729812274030547,-2.431962117804238,0.0,0.0,-0.6359056962365924,0.7717667688452611,0.0,0.0,0,0,1,0
C4,21,40.40192133073468,-4.256120327475711,-2.401297992475423,0.0,0.0,-0.6359056962365924,0.7717667688452611,0.0,0.0,0,0,1,0
